NAME	LEN	DEPTH	TIME	TP	FP	FN	PRC	RCL	FS	DBN	PRED
RF01380	19	22	0.915	7	0	0	1.0	1.0	1.0	(((((((....))).))))	(((((((....))).))))
RF00390	23	6	1.394	7	0	0	1.0	1.0	1.0	.[[[....((((]]]....))))	.[[[....((((]]]....))))
RF01381	24	19	1.88	5	0	0	1.0	1.0	1.0	...(((((.....)))))......	...(((((.....)))))......
RF02253	32	30	2.384	12	0	1	1.0	0.923	0.96	(((((((.((((((...).)).))))))))))	(((((((.(((((......)).))))))))))
RF02519	34	5	2.872	4	7	3	0.364	0.571	0.444	.....[[[...((((.]]].....))))......	...((..(((.((((.((....))))))))))).
RF01344	36	5	3.37	8	3	0	0.727	1.0	0.842	((((((((....................))))))))	((((((((..........(((....)))))))))))
RF02359	36	5	3.878	6	2	1	0.75	0.857	0.8	.................(((((.((....)))))))	.............[[..(((((.(]]....))))))
RF01357	37	3	4.371	2	10	8	0.167	0.2	0.182	(((.(((.((((............)))).))).))).	((..[[..[[[[.))]]]].......((((]].))))
RF01330	37	6	4.881	7	5	0	0.583	1.0	0.737	.....(((((((......)))))))............	.....(((((((([[..))))))))..((]].))...
RF00037	38	62	5.405	13	2	2	0.867	0.867	0.867	((.(.(((((.(.((((((...).))))))))))))))	((.(.((((([[.(((((]]....))))).))))))))
RF00500	46	5	5.907	5	10	7	0.333	0.417	0.37	((((.(((((......(((....))).......))))).))))...	(((..[[[[[......)))...(((((.{{...]]]]].)))))}}
RF00164	47	39	6.443	5	11	7	0.312	0.417	0.357	...(((((....(((.((((......))..))..)))...)))))..	..(((((([[[(((...)))..((.((..]]]...)))).)))))).
RF00032	47	46	6.971	6	0	0	1.0	1.0	1.0	.....((((((....))))))..........................	.....((((((....))))))..........................
RF00175	47	70	7.509	11	0	0	1.0	1.0	1.0	....(((.(.((((((.(............)))))))...))).)..	....(((.(.((((((.(............)))))))...))).)..
RF00207	48	10	8.014	18	1	0	0.947	1.0	0.973	(((((.(((((((((((((........))))))).))).))).)))))	(((((((((((((((((((........))))))).))).)))))))))
RF00480	52	145	8.602	10	9	0	0.526	1.0	0.69	...............((((((((((......))))))))))...........	......(((((((.((((((((((((....))))))))))))...)))))))
RF01727	54	54	9.148	10	2	4	0.833	0.714	0.769	....(((((((..(([[[.[[))..))))).))...............]]]]].	....(((((((....[[[[[.....))))).))...............]]]]].
RF01047	61	33	9.683	24	0	1	1.0	0.96	0.98	(((((((((((((......((((((((((((...).)))))).))))))))))))))))))	(((((((((((((......(((((((((((......)))))).))))))))))))))))))
RF00250	61	45	10.241	16	7	8	0.696	0.667	0.681	((((.(((((((((((.(((((...((((......))))))))))))))))))))))))..	([[[[[((((((((]]]]](((...((((...[[.)))))))....))))))))..]])..
RF00382	65	5	10.737	6	11	5	0.353	0.545	0.429	...............................((((((.(((((.....))).)).))))))....	....[[[[.....((.............)).((((((.(({{{.]]]]..))}}}))))))....
RF00505	66	5	11.235	16	1	0	0.941	1.0	0.97	...........[[[[[[[.......(((((((((.]]]]]]]........))))))))).......	...........[[[[[[[.......((((((((((]]]]]]].......)))))))))).......
RF01073	67	8	11.745	10	8	7	0.556	0.588	0.571	.......(((.((((.((((..[[[[[[)))).))))..))).............]]]]]]......	......[[.{.[[[[.[....((((((((((}]]]]])))....]].........))))))).....
RF01826	69	7	12.234	10	4	2	0.714	0.833	0.769	.........[[[[..............((((((]]]].((.....))....)))).))...........	.....[...[[[[........(((.....((((]]]].((.....))]...)))).........)))..
RF00522	70	36	12.748	5	0	2	1.0	0.714	0.833	.....(((((....[[..........)))))..............................]].......	.....(((((................))))).......................................
RF00066	75	49	13.281	11	6	0	0.647	1.0	0.786	....................................(((((.(((..(((......)))..))).))..)))...	............(((.....(((.....))))))..(((((.(((..(((......)))..))).))..)))...
RF02796	76	5	13.782	16	7	5	0.696	0.762	0.727	(((((((((.......(((((((..((....(((....)))..)).....)))))))......)))))))))....	(((((((((.......((((((([[[[[..................{{..))))))).]]]]])))))))))}}..
RF00240	77	16	14.285	16	6	4	0.727	0.8	0.762	..((((((((((((((.((......................((((....))))..)).)))))))))))))).....	[[((((((((((((((.(((..(...................]].......)[[))).)))))))))))))).]]..
RF01415	77	20	14.817	22	5	0	0.815	1.0	0.898	....(((((((((((((....))))).((((..........))))..)))))..)))....(((((.....))))).	....(((((((((((((....))))).(((((([[.[.)).))))..)))))..))).]]](((((.....))))).
RF02340	78	11	15.32	16	11	5	0.593	0.762	0.667	...(((((((((((((.((((.(....(((.....))...).....)))...........)).)))))).))))))).	..((((((((((((((...((.(([[[(((....)))...).....)))(((.]...]]))).)))))).))))))))
RF00622	78	12	15.832	20	8	3	0.714	0.87	0.784	............(((((...[[[[[[[(((..[....))).))))).].(((((((....)))))))....]]]]]]]	........[[.[[[[[[[..((((((([..(.....(((]]]]]]]]]](((((((....))))))))))))))))))
RF00507	81	50	16.363	14	10	10	0.583	0.583	0.583	.......((((((((.....(([[[[[)).))))))))..((.((((.(((....))))).)).))......]]]]]....	...((((((((((((((...[[[[[[[.))))))))))))...)).(((.......))).............]]]]]]]..
RF00254	82	12	16.883	19	6	0	0.76	1.0	0.864	....(((...((((((((...((((((((.......................))))))))....))))))))...)))....	....(((((((((((((((..((((((((.....................[[))))))))...)))))))))))))))]]..
RF00525	84	111	17.465	19	3	0	0.864	1.0	0.927	.(((((((.......((((((((............)).))))).)......))......((((......)))))))))......	((((((((.......((((((((............)).))))).)......)).[[...((((]]....)))))))))).....
RF01763	85	41	17.99	16	2	1	0.889	0.941	0.914	.....(((((.............)))))....[[[[.......((...(((((.(]]]].......).......)))).)))...	...(((((((.............)))))..))[[[[.......((...(((((..]]]]...............)))).)))...
RF00008	85	85	18.53	16	1	1	0.941	0.941	0.941	(((((((..(((((.........)))))(....).((((................................))))...)))))))	(((((((..(((((.........))))).......(((((..............................)))))...)))))))
RF02095	87	21	19.056	32	2	0	0.941	1.0	0.97	((((.....(((((.((.((((((((((.(((((((((((.......))))))))))).)))))))))).)).))))).....))))	((((....((((((.(((((((((((((.(((((((((((.......))))))))))).))))))))))))).))))))....))))
RF02679	89	45	19.586	21	5	1	0.808	0.955	0.875	((((..[[[[[.)))).........((((......]]]]].....(((((((((....................)))))))))..))))	[[[[.(((((((]]]].(((......[[[).)).)))))).)...(((((((((....................)))))))))..]]].
RF00233	92	28	20.117	23	6	0	0.793	1.0	0.885	.....(((((......))))).((((((.......))))))......((.((.......))))[[.[....(((((].]]...)))))....	.....(((((.[[[[.)))))(((((((.......))))))).....((.((...]]]]))))[[.[...((((((].]]...))))))...
RF00031	93	61	20.657	18	0	0	1.0	1.0	1.0	(.((((...........((((((((((.......(((......)))...........)))))).).).))..................)))))	(.((((...........((((((((((.......(((......)))...........)))))).).).))..................)))))
RF00027	95	64	21.212	30	1	2	0.968	0.938	0.952	((((((.((((((((((((((((.((((.....((((.............))))...((....))...)))))))))))))))))))).))))))	((((((.((((((((((((((((.(((((....((((.............)))).............))))))))))))))))))))).))))))
RF04222	96	44	21.738	11	1	6	0.917	0.647	0.759	..(((((..{((((((...................[[[[[...}..)).)))).)).))).........................]]]]]......	......(...((((((...................[[[[[......)).))))..).............................]]]]]......
RF00375	101	130	22.411	15	13	3	0.536	0.833	0.652	(((((((..((((((((...............................))))))))........(((.....)))...................)))))))	(((((((..(((((((([[[[.((.........{{)..)[[.......))))))))......(((....]]]]]]}}......)))........)))))))
RF00957	102	12	22.942	20	9	13	0.69	0.606	0.645	....((((.((((((((.((....((((((((((((((((.(((...........))).)))))..))))))))).))..))..))))).))))))).....	.(((((((.((((((((.........((((((((((((((................)))))).....)))))))).........))))).))))))))))..
RF01704	102	628	23.791	18	1	0	0.947	1.0	0.973	...[[[[[.(((((............................................)))))...........(((((.(((...]]]]]..)).))))))	..[[[[[[.(((((............................................)))))...........(((((.(((...]]]]]].)).))))))
RF00374	103	22	24.337	30	7	2	0.811	0.938	0.87	..(.(..((((((....))))))..).)......((((..(((.(((((((((....)))))....)))))))))))..((.((((((....)))))).))..	.[[.(((((((((....)))))).....)))...((((..(((.(((((((((..{{)))))....)))))))))))..((.((((((]]}})))))).))..
RF02680	105	31	24.889	28	10	2	0.737	0.933	0.824	[[[[......((((((...]]]]((((.(((((........)))))))))....((((.(((((((.......))))))).).)))..))))))...........	{..[......(((((((..][[}((((.(((((........)))))))))....((((.((((((([[[[[[[))))))).).))).)))))))..]]]]]]]]]
RF00106	108	10	25.413	31	6	5	0.838	0.861	0.849	.......((((((((.(((.......)))))).)))))..((((((((((((.....)).))))))))))..(((((((.((((((.......))))))))).)))).	......(((((((((.(((.......)))))).)))))).(((((((.((((....).).)).)))))))..((((((((((((((.......)))))))))))))).
RF02348	110	35	25.952	7	15	0	0.318	1.0	0.483	.....................................................................................(((((((....))).))))......	((((((....[[[)....)))))....{...(.((((..]]]...}..................)).)))...............(((((((....))).))))......
RF01689	112	146	26.593	19	8	5	0.704	0.792	0.745	((((((........((.(((.....(((((............)))))[[(((.........))).(((........................]])))....)))))))))))	((((((...[[[[.((.((((((.((((((............))))))...))).].....]]].(((..........................)))....)))))))))))
RF01786	113	54	27.152	24	2	5	0.923	0.828	0.873	(((((((((((.(((.......((((..(((.(........[[[[.[[[.......................).)))))))....)))...]]]]]..]]..)))))))))))	.....((((((.(((.......((((..(((.(......[[[[[[.[[[.......................).)))))))....)))...]]]]]..]]]])))))).....
RF00167	113	133	27.811	22	7	0	0.759	1.0	0.863	.................(((.(.((((...(((((((........))))))).........(((((((.........))))))...)..)))).))))...............	.................(((.(.((((...(((((((..[[[[[.))))))).((....))(((((((]]..]]]..))))))...)..)))).))))...............
RF00005	118	954	28.936	21	0	0	1.0	1.0	1.0	(((((((....((((.............))))..(.((((........)))).)...............................(((.((...........)))).).)))))))..	(((((((....((((.............))))..(.((((........)))).)...............................(((.((...........)))).).)))))))..
RF01852	119	109	29.588	29	3	1	0.906	0.967	0.935	(((((((((....(..((.((.(......))))))((((((.......)))).)..)...((((.(.............)))))....((((.......))))...)))))))))....	((((((((.....(..((.((.(......))))))((((((.......)))).)..)...((((.(((.........)))))))...(((((.......))))...)))))))))....
RF03054	122	383	30.326	15	4	1	0.789	0.938	0.857	....((((((....[..((.((..(((((.................................................................))))...)))..]))...))))))....	...((((((((.....(((.((..((((((...............................................................)))))...)))...))).))))))))...
RF02553	125	6	30.863	28	9	6	0.757	0.824	0.789	.((((((.....(((((((...(.......(((....((((((.[...))))))((((((....))))))..((((......]..)))))..))).....)))))))........))))))....	.((((((.....(((((((({{{.............((((((..[[[[.)))))((((((....))))))..((((......}}}))))).........))))))))....]]]]))))))....
RF00386	125	160	31.563	25	6	4	0.806	0.862	0.833	.(((((((.(((((((((........)))))))))(((.....))).((..((((...((((......................................))))...)))))).)))))))....	.(((((((((((((((((........)))))))))..((...))((.....(((((..((((................(....)................))))..)))))))))))))))....
RF00169	127	261	32.345	29	5	4	0.853	0.879	0.866	...(.(((.(..(((..((((...(((.(((..(((((((....(((((....(((.....)))....))))).)))))))...).).))).).)....)).).))).....)))))..........	((((.(((.(..(((..((((..((((.(((...(((((......((((....(((.....)))....))))...)))))....).).))).)..))..)).).))).....)))))))).......
RF03013	128	182	33.018	20	0	5	1.0	0.8	0.889	(((((.((........(((((((..((.(((((.((((............................................................)))).))))).))..)).))))))))))))	(((((.((........(((((((.....(((((....(............................................................)....))))).....)).))))))))))))
RF01054	132	15	33.563	23	5	0	0.821	1.0	0.902	..................(((((..............).))))..(((((((......[[[[[[.))))))).........(((((........................))))).]]]]]]..........	((((..............(((((..............).))))..(((((((......[[[[[[[))))))))))).....(((((........................)))))]]]]]]]..........
RF01051	136	155	34.251	21	3	1	0.875	0.955	0.913	...........((...((((.(.(.........))))))...))..((((...(.(((((.....((((........................................)).))...)))..))).))))......	..........(((...((((.(.(.........))))))...)...((((...(.(((((....(((((........................................)).)))..)))..))).)))).))...
RF00114	140	78	34.916	6	19	7	0.24	0.462	0.316	......((((((.............)))))).........................(.((.........((((..............)))))))..............................................	..((((((((((.[[.....[[[[[))))))))))...................................................]]]]]]]...(((((.....(((..........)))...)))))..........
RF01084	149	8	35.475	43	7	0	0.86	1.0	0.925	(((((((..((((((...[[[[[[)))))).......((((((.................))))))..((((..((((((.......)))))).......))))))))))).((((((((......)))))))).........]]]]]]	(((((((..((((((...[[[[[[))))))...[[[.((((((.................))))))..(((((((((((((.....)))))))).....)))))))))))).(((((((((....)))))))))..]]]....]]]]]]
RF00166	152	37	36.086	34	6	0	0.85	1.0	0.919	(((((............))))).((((((.......))))))...........(((((........))))).(((((......))))).........................((((((...(((((((.......))))))).))))))..	((((((........)..)))))(((((((.......))))))).......[..(((((........))))).(((((.(...))))))........................(((((((...((((((((]....)))))))).))))))).
RF00634	152	40	36.702	26	14	5	0.65	0.839	0.732	((((....(..((((((.......((........))..)))))).)(((..(((.((............))..))).)))..........))))..(((..((.((.(((..................)))))))..)))............	((((.......(((((((...........{{{{{...)))))))..((((.((((........[[[[[.[..)))))))).}}}}}....))))..(((..((.((.(((..................)))))))..)))....]]]]]]..
